               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.056289,             0.01937,             0.06483,             0.43888,            0.073819,            0.038238,            0.021175,            0.065677,            0.014613,            0.074945,            0.006601,            0.006601,            0.006601
                 105,            0.056828,            0.020347,            0.064283,             0.41329,            0.087154,             0.04733,            0.026093,            0.065375,            0.014552,            0.075246,            0.006568,            0.006568,            0.006568
                 106,             0.05577,            0.020544,            0.064371,             0.47433,             0.10358,            0.056511,             0.02933,            0.064745,            0.014915,            0.073938,            0.006535,            0.006535,            0.006535
                 107,            0.056653,            0.020466,            0.063635,             0.27576,             0.19336,            0.057509,            0.033857,            0.065288,            0.014632,            0.074328,            0.006502,            0.006502,            0.006502
                 108,            0.053888,            0.019778,            0.064332,             0.26313,             0.19851,            0.055393,            0.033607,             0.06512,            0.015128,            0.075499,            0.006469,            0.006469,            0.006469
                 109,            0.056858,            0.020036,            0.063505,             0.35855,              0.1276,            0.057973,            0.029752,            0.064843,             0.01493,            0.074868,            0.006436,            0.006436,            0.006436
                 110,            0.056016,            0.019065,            0.063783,             0.46974,            0.074911,             0.04715,            0.023245,             0.06457,            0.014875,            0.075924,            0.006403,            0.006403,            0.006403
                 111,            0.056891,            0.021224,            0.063677,             0.36714,            0.099352,            0.043285,            0.026011,            0.065941,            0.015029,            0.075381,             0.00637,             0.00637,             0.00637
                 112,            0.056086,            0.020846,            0.062644,             0.31614,             0.21341,            0.069237,            0.033987,            0.065239,            0.014515,            0.074705,            0.006337,            0.006337,            0.006337
                 113,            0.055009,             0.02014,            0.061958,             0.27745,             0.17474,            0.067454,            0.041863,            0.063638,            0.014516,            0.074558,            0.006304,            0.006304,            0.006304
                 114,            0.054265,            0.019756,            0.062856,             0.27663,              0.1755,            0.056759,            0.032107,            0.064138,            0.014976,             0.07446,            0.006271,            0.006271,            0.006271
                 115,            0.055272,            0.019706,            0.063252,             0.41989,            0.082998,             0.05329,            0.028976,            0.064025,            0.014757,            0.074573,            0.006238,            0.006238,            0.006238
                 116,            0.055288,            0.020058,            0.062932,             0.30327,             0.16281,            0.048623,             0.02836,            0.064221,            0.014755,            0.074711,            0.006205,            0.006205,            0.006205
                 117,            0.056066,             0.01901,            0.062357,             0.44408,            0.090728,            0.075979,            0.039365,            0.064245,            0.014614,            0.075438,            0.006172,            0.006172,            0.006172
                 118,            0.056615,            0.020118,            0.059939,             0.32347,              0.1668,            0.073155,             0.03298,            0.064054,            0.015292,            0.074877,            0.006139,            0.006139,            0.006139
                 119,            0.055083,             0.01917,            0.060766,             0.41082,            0.072453,            0.065913,            0.043317,            0.064863,            0.014614,            0.074696,            0.006106,            0.006106,            0.006106
                 120,            0.055126,            0.019816,            0.061157,             0.35815,             0.14035,            0.062191,            0.035414,            0.064647,            0.014665,            0.074663,            0.006073,            0.006073,            0.006073
                 121,            0.054425,            0.019378,            0.061691,              0.2675,             0.19868,             0.05581,            0.031949,            0.063925,            0.014543,             0.07426,             0.00604,             0.00604,             0.00604
                 122,            0.055526,            0.020159,            0.059562,             0.38508,             0.07188,             0.05204,            0.029312,            0.064796,            0.014868,            0.074831,            0.006007,            0.006007,            0.006007
                 123,            0.055009,            0.019088,            0.061512,              0.2746,             0.18148,            0.058297,            0.027949,            0.064186,            0.015092,            0.074336,            0.005974,            0.005974,            0.005974
                 124,            0.054557,            0.020143,            0.061603,             0.28572,             0.13868,            0.052742,            0.030166,            0.064815,            0.014779,            0.074984,            0.005941,            0.005941,            0.005941
                 125,            0.054087,            0.018787,            0.062292,             0.50373,            0.083136,            0.064548,            0.032747,            0.064427,            0.014848,            0.073312,            0.005908,            0.005908,            0.005908
                 126,            0.054368,            0.019158,            0.060892,             0.30942,             0.15301,            0.068741,            0.036072,            0.065713,            0.014706,            0.074716,            0.005875,            0.005875,            0.005875
                 127,             0.05375,            0.019546,            0.060927,             0.33831,             0.11617,            0.060752,            0.035714,            0.064237,            0.014748,            0.073922,            0.005842,            0.005842,            0.005842
                 128,            0.053519,            0.019524,            0.061035,             0.30493,             0.16072,            0.066795,            0.037385,            0.064698,            0.014926,             0.07416,            0.005809,            0.005809,            0.005809
                 129,             0.05312,            0.019275,            0.059359,             0.30868,             0.16641,            0.075725,            0.046967,            0.064648,             0.01477,            0.075566,            0.005776,            0.005776,            0.005776
                 130,            0.054328,            0.018488,            0.058696,             0.35669,             0.10216,            0.046489,            0.026076,            0.064651,            0.014798,            0.075272,            0.005743,            0.005743,            0.005743
                 131,            0.054263,            0.019113,            0.059352,             0.44954,            0.096536,             0.06909,            0.032097,            0.065544,            0.015063,            0.074998,             0.00571,             0.00571,             0.00571
